,index,shot_id_number,is_goal
0,0,1,0.4507916903339222
1,7,8,0.328849292712498
2,16,17,0.5322502394524383
3,19,20,0.5729460073599395
4,21,22,0.5171526940703777
5,32,33,0.3494427322871835
6,33,34,0.43437023263194685
7,34,35,0.27636469503213246
8,35,36,0.4105526676532837
9,36,37,0.40023255925149037
10,37,38,0.3520452012763251
11,44,45,0.4501176496874232
12,49,50,0.4009320196156798
13,54,55,0.9570317524269983
14,59,60,0.7014598524247615
15,61,62,0.4012245103382777
16,65,66,0.43685186184573543
17,66,67,0.33285784387683515
18,70,71,0.3963129448205921
19,71,72,0.6345102759781817
20,75,76,0.42113411753202845
21,79,80,0.3548919082725213
22,84,85,0.5109491292726868
23,85,86,0.963416769848601
24,86,87,0.39549442957785086
25,91,92,0.5075516173571868
26,94,95,0.34217506892302135
27,96,97,0.4030566277276333
28,103,104,0.36080498852779735
29,112,113,0.31622951676425637
30,121,122,0.9172898267094874
31,122,123,0.4001533706925219
32,125,126,0.4496490998962587
33,132,133,0.26833148266362433
34,133,134,0.46656077017700087
35,140,141,0.9452887160961947
36,143,144,0.5113761248581246
37,149,150,0.3711506366688648
38,151,152,0.9276024888786625
39,152,153,0.3194018790182695
40,155,156,0.9053415892769662
41,158,159,0.6441750078435328
42,164,165,0.5991078719286123
43,171,172,0.4115554258129347
44,181,182,0.3923323579867357
45,191,192,0.5366006860507885
46,192,193,0.43371254592169695
47,195,196,0.6317957081042984
48,201,202,0.4789959136716536
49,204,205,0.3584127893589171
50,209,210,0.3734600995633703
51,210,211,0.49610514143258155
52,227,228,0.3809918709557594
53,249,250,0.861528704028704
54,256,257,0.49490166886462017
55,259,260,0.7427298786608287
56,261,262,0.40288166447484136
57,263,264,0.36150055930696257
58,266,267,0.3997863815900277
59,278,279,0.3592672043463704
60,281,282,0.3659141866430512
61,292,293,0.4193240331914202
62,298,299,0.37126283762978374
63,299,300,0.16152722534291794
64,300,301,0.39643439392950225
65,316,317,0.5458448404633636
66,326,327,0.6302635182285516
67,327,328,0.4962081673063835
68,334,335,0.49311696970907193
69,345,346,0.3989838705779646
70,347,348,0.21573053862333008
71,359,360,0.8065814933761543
72,364,365,0.09306773266694021
73,378,379,0.9831044007105694
74,381,382,0.3971122938681203
75,389,390,0.46847395698187794
76,390,391,0.3850073806971061
77,391,392,0.035514256731111346
78,396,397,0.38510501072541614
79,416,417,0.32353935786480836
80,417,418,0.47075832366818204
81,419,420,0.5435972905332712
82,427,428,0.983770524274639
83,428,429,0.41624342507320816
84,433,434,0.39168299899446957
85,438,439,0.4758161375381807
86,439,440,0.37381160388143936
87,450,451,0.4449248510889757
88,455,456,0.532803949482595
89,458,459,0.672996728430982
90,471,472,0.3370592989364817
91,479,480,0.44364447723694206
92,490,491,0.39158340740082737
93,496,497,0.4877812277728307
94,508,509,0.39054622229142255
95,510,511,0.5394364429508001
96,522,523,0.3608075662638818
97,532,533,0.3307639079889598
98,543,544,0.4823377600240124
99,545,546,0.4805413704950176
100,551,552,0.5730010675634052
101,554,555,0.9931265664160401
102,557,558,0.40232716052552764
103,559,560,0.37175437018701263
104,567,568,0.47598287916394105
105,570,571,0.443824002655907
106,572,573,0.6566228674465404
107,575,576,0.3370231009096914
108,577,578,0.382280665967564
109,590,591,0.6907974450431421
110,595,596,0.3495706771344329
111,596,597,0.3907855127493816
112,600,601,0.3833655031873237
113,604,605,0.9791105734557769
114,616,617,0.9891228070175438
115,624,625,0.5405481371218191
116,627,628,0.4834383647239842
117,633,634,0.4287477203247995
118,645,646,0.5867613299327702
119,648,649,0.9791105734557769
120,650,651,0.40674397222589026
121,653,654,0.40122942143699286
122,655,656,0.3882348576921736
123,656,657,0.425517320566298
124,660,661,0.397235334175312
125,668,669,0.3793826642192905
126,669,670,0.39860635843903547
127,679,680,0.3196352141320588
128,692,693,0.31299535352188
129,693,694,0.40000902943734806
130,698,699,0.3758255342768601
131,710,711,0.510513016392028
132,714,715,0.6192338624526823
133,717,718,0.45151051649553625
134,721,722,0.4187273569954306
135,722,723,0.8552866251395663
136,724,725,0.32098388495326485
137,733,734,0.3521465909707695
138,734,735,0.2986718178224231
139,736,737,0.6528320774955372
140,745,746,0.35917324315760396
141,746,747,0.3213647296183629
142,763,764,0.3947264506183705
143,765,766,0.501088333173671
144,766,767,0.44914414463771113
145,770,771,0.6682943685794548
146,772,773,0.39142244586413594
147,773,774,0.4542326025792852
148,782,783,0.3842214694128553
149,783,784,0.39396716518386093
150,788,789,0.5563926758241641
151,791,792,0.4146872120205319
152,803,804,0.7338739698914747
153,808,809,0.46320458762219435
154,811,812,0.5597642618909031
155,812,813,0.08010545169966479
156,816,817,0.39232322578654233
157,817,818,0.01618398962148962
158,819,820,0.6011354323005174
159,824,825,0.337251614187119
160,825,826,0.19302713194331483
161,828,829,0.39210128730515137
162,832,833,0.44774912658059784
163,854,855,0.48149585454764365
164,858,859,0.3992285833990413
165,861,862,0.6284506451012395
166,869,870,0.3921497094020387
167,875,876,0.40514311639443923
168,879,880,0.43312290852539465
169,885,886,0.33383629303979867
170,888,889,0.3508827368432629
171,890,891,0.652823161366312
172,896,897,0.4108989783999674
173,901,902,0.47062991548373156
174,902,903,0.38205622225190206
175,907,908,0.4790253374508703
176,908,909,0.22312290730375195
177,919,920,0.12175237109185263
178,921,922,0.9133244206773619
179,923,924,0.5851200336771237
180,931,932,0.36774964321227754
181,933,934,0.41464278381706404
182,936,937,0.39105338422053054
183,937,938,0.40214470445747275
184,940,941,0.9782017543859649
185,942,943,0.5075458891357719
186,946,947,0.4661356050502607
187,949,950,0.29583514405555655
188,951,952,0.412629012365172
189,953,954,0.39795173525880156
190,961,962,0.44578969329160323
191,962,963,0.43187303543600564
192,974,975,0.4862075434608089
193,978,979,0.4028210081587426
194,980,981,0.4577234411088044
195,982,983,1.0
196,984,985,0.7624769128360702
197,988,989,0.3864769817188718
198,994,995,0.27627138509470983
199,997,998,0.4901064984475075
200,1007,1008,0.7286337643945011
201,1018,1019,0.38440298533209283
202,1022,1023,0.4720205478430458
203,1025,1026,0.34688938294454463
204,1028,1029,0.43754639752233737
205,1033,1034,0.4747439052165059
206,1035,1036,0.36946232334010876
207,1037,1038,0.8204842995014291
208,1038,1039,0.4814667662447915
209,1043,1044,0.5849434045773004
210,1048,1049,0.38758401057408676
211,1050,1051,0.4959575514164207
212,1051,1052,0.390798383241835
213,1061,1062,0.33439090924288617
214,1063,1064,0.4283827742440528
215,1065,1066,0.4079973493346829
216,1086,1087,0.5180438331077751
217,1091,1092,0.4179119526046179
218,1093,1094,0.3121756948596562
219,1097,1098,0.46483093704974704
220,1098,1099,0.36802778166315187
221,1101,1102,0.4489871431518747
222,1102,1103,0.5042207128147043
223,1117,1118,0.5880944440753607
224,1130,1131,0.5864354138915349
225,1132,1133,0.893442306235321
226,1134,1135,0.49281209048656505
227,1137,1138,0.46121572443009595
228,1138,1139,0.3713394386903578
229,1140,1141,0.24727225421007396
230,1141,1142,0.5535591691394447
231,1150,1151,0.70578488264249
232,1151,1152,0.3843476650435842
233,1154,1155,0.569678899355575
234,1156,1157,0.433465243007131
235,1164,1165,0.41199568094520983
236,1166,1167,0.5176210273523296
237,1171,1172,0.4265380380032961
238,1173,1174,0.43633679730500974
239,1177,1178,0.47059469245966107
240,1179,1180,0.38230740376188443
241,1199,1200,0.3085269222567589
242,1201,1202,0.4727942790654823
243,1208,1209,0.35411237100878684
244,1226,1227,0.36899134620348795
245,1227,1228,0.4640236358918135
246,1228,1229,0.9831044007105694
247,1236,1237,0.41965337651825835
248,1240,1241,0.5165410762976722
249,1247,1248,0.4149150942876497
250,1255,1256,0.6188112392835822
251,1276,1277,0.5680557183128744
252,1278,1279,0.7448966587350411
253,1287,1288,0.5898152496582307
254,1289,1290,0.3298388691459622
255,1292,1293,0.48362700152717036
256,1294,1295,0.35024414427548545
257,1307,1308,0.9165330930577591
258,1314,1315,0.31188427781500155
259,1318,1319,0.3073264008423035
260,1319,1320,0.39899294109762395
261,1320,1321,0.3813051660143812
262,1321,1322,0.4702595587219238
263,1330,1331,0.6144172850304603
264,1333,1334,0.4224045327115758
265,1342,1343,0.4922565497410566
266,1347,1348,0.9696663393337026
267,1348,1349,0.4013551752610369
268,1350,1351,0.4456379257244979
269,1372,1373,0.4504491656105878
270,1374,1375,0.40872306248054296
271,1379,1380,0.1255252100840336
272,1381,1382,0.37690812021831377
273,1384,1385,0.7889676086662446
274,1386,1387,0.9405260236771971
275,1393,1394,0.6210729019302933
276,1398,1399,0.3982320706774698
277,1402,1403,0.8225013101077951
278,1408,1409,0.42160664268113346
279,1412,1413,0.48193141773399645
280,1424,1425,0.4090652893554781
281,1427,1428,0.6893730450116695
282,1433,1434,0.7279144572594907
283,1443,1444,0.41106952715355966
284,1447,1448,0.4294351355477552
285,1460,1461,0.3643979838194606
286,1465,1466,0.43541643581177125
287,1475,1476,0.4799701805028965
288,1477,1478,0.35700868188724627
289,1484,1485,0.44778463101895805
290,1490,1491,0.4285632415168208
291,1493,1494,0.41029524089172514
292,1494,1495,0.673143059537554
293,1499,1500,0.44275396214215
294,1500,1501,0.38295817348454647
295,1502,1503,0.4199736130247066
296,1506,1507,0.36858692733366705
297,1510,1511,0.301313424027937
